"","ShortAffil","id","lat","long","country"
"1","bioprocessing technology institute (a-star), 20 biopolis way, #06-01 centros, singapore, 138668, singapore",1,1.3040064,103.7919232,"Singapore"
"6","institute of medical biology (a-star), 8a biomedical grove, #06-06, singapore, 138648, singapore",2,1.3022425,103.7933719,"Singapore"
"8","university of washington, seattle, wa, usa",3,47.6553351,-122.3035199,"United States"
"11","hannover medical school, hannover, germany",4,52.384053,9.805953,"Germany"
"12","institute of pathology, hannover medical school, hannover, germany",5,52.384053,9.805953,"Germany"
"18","laboratoire handicap & système nerveux, university of bordeaux, bordeaux, france",6,44.8086048,-0.5935827,"France"
"19","project-team potioc, inria bordeaux sud-ouest/labri/cnrs, talence, france",7,44.8056407,-0.601821,"France"
"21","interact lab, university of sussex, brighton, united kingdom",8,50.8670895,-0.087914,"United Kingdom"
"24","optimisation and logistics, university of adelaide, adelaide, australia",9,-34.920603,138.6062277,"Australia"
"26","diegm, università degli studi di udine, udine, italy",10,46.0810723,13.2119474,"Italy"
"27","hepatology and endocrinology, hannover medical school",11,52.384053,9.805953,"Germany"
"28","and †mosaiques diagnostics gmbh, hannover, germany",12,52.41999,9.82772,"Germany"
"29","institute of cardiovascular and medical sciences, university of glasgow, glasgow, united kingdom",13,55.8721211,-4.2882005,"United Kingdom"
"30","institut national de la santé et de la recherche médicale (inserm), u1048, institute of cardiovascular and metabolic disease",14,32.7500894,-97.3688754,"United States"
"31","and ∥université toulouse iii paul-sabatier, toulouse, france",15,43.5619687,1.4700537,"France"
"32","university of leipzig, leipzig",16,51.3385738,12.3784615,"Germany"
"34","*plateau de protéomique des liquides biologiques, institute of cardiovascular and metabolic disease, toulouse, france",17,43.604652,1.444209,"France"
"35","medical university hospital, tübingen",18,48.5297568,9.0381857,"Germany"
"36","and ‡‡institute of clinical chemistry, hannover medical school, hannover, germany",19,52.384053,9.805953,"Germany"
"37","mackay children's hospital, taipei, taiwan",20,25.0588322,121.5223675,"Taiwan"
"39","mackay medical college, new taipei city, taiwan",21,25.254377,121.4950804,"Taiwan"
"42","mackay junior college of medicine, nursing, and management, new taipei city, taiwan",22,25.1222891,121.4644703,"Taiwan"
"43","section of microbiology, mackay memorial hospital, new taipei city, taiwan",23,25.0588322,121.5223675,"Taiwan"
"44","mackay memorial hospital, taipei, taiwan",24,25.0588322,121.5223675,"Taiwan"
"55","lawrence berkeley national laboratory, berkeley, ca 94720, united states",25,37.8759277,-122.2500274,"United States"
"56","lockheed martin information services & global solutions, 625 bay area blvd",26,40.0943347,-75.4119863,"United States"
"57","800, houston, tx 77058, united states",27,29.5642078,-95.0911062,"United States"
"58","engineering, shanghai jiao tong university, shanghai, 200240, china",28,31.201001,121.432841,"China"
"65","cornell university, ithaca, ny, usa",29,42.4534492,-76.4735027,"United States"
"66","columbia university, evolution and environmental biology, new york, usa",30,40.8086392,-73.9599574,"United States"
"67","the nature conservancy, va, usa",31,38.882569,-77.112099,"United States"
"69","school of civil and water resources engineering, bahir dar university, bahir dar, ethiopia",32,11.5743107,37.3979759,"Ethiopia"
"72","university of bologna, bologna, italy",33,44.4962318,11.354157,"Italy"
"73","department of chemistry ""g. ciamician"", university of bologna, bologna, italy",34,44.4963657,11.353998,"Italy"
"76","national key laboratory of crop genetic improvement, huazhong agricultural university, wuhan, 430070, china",35,30.475126,114.353035,"China"
"78","national maize improvement center of china, beijing key laboratory of crop genetic improvement, china agricultural university, beijing, 100193, china",36,40.0422561,116.2947906,"China"
"79","university of california, riverside, ca, 92521, usa",37,33.9756518,-117.3311106,"United States"
"104","unitypoint clinic foot and ankle, college of podiatric medicine and surgery, des moines university, 804 kenyon road suite 310, fort dodge, ia 50501, usa",38,42.4922853,-94.1923356,"United States"
"105","institute for systems biology, seattle, usa",39,47.6225773,-122.3374358,"United States"
"106","died july 18, 2014 proteomics facility, centro nacional de biotecnología - csic, madrid, spain proteored consortium, spanish national institute of proteomics, madrid, spain",40,40.476268,-3.693884,"Spain"
"107","chuv centre hospitalier universitaire vaudois, lausanne, switzerland",41,46.5256057,6.6426073,"Switzerland"
"108","medizinisches proteom center (mpc), ruhr-universität bochum, bochum, germany",42,51.4456659,7.2616093,"Germany"
"109","institute of integrative biology, university of liverpool, liverpool, uk",43,53.405936,-2.9655722,"United Kingdom"
"111","institute for systems biology, seattle, university of michigan, ann arbor, usa",44,42.2780436,-83.7382241,"United States"
"112","european molecular biology laboratory, european bioinformatics institute (embl-ebi), wellcome trust genome campus, hinxton, cambridge, uk",45,52.080033,0.186338,"United Kingdom"
"115","tianjin institute of industrial biotechnology, chinese academy of sciences, tianjin 300308, p.r. china",46,39.004326,117.619183,"China"
"116","key laboratory of systems microbial biotechnology, chinese academy of sciences, tianjin 300308, p.r. china",47,39.004326,117.619183,"China"
"120","national engineering laboratory for industrial enzymes, tianjin 300308, p.r. china",48,39.159152,117.3755933,"China"
"121","programa de pós-graduação em engenharia de processos, universidade tiradentes, av",49,-10.9086447,-37.0550554,"Brazil"
"122","murilo dantas 300, farolândia, aracaju, 49032-490, brazil",50,-10.9695271,-37.058544,"Brazil"
"123","instituto carlos chagas-fiocruz, fiocruz-paraná. rua prof algacyr munhoz mader 3775,cic, curitiba - pr, 81.3",51,-25.4942137,-49.3327217,"Brazil"
"124","-010, brazil",52,39.109842,-94.58227,"United States"
"125","rue de la glacière, 75013 paris, france",53,48.8320297,2.3444558,"France"
"126","65 seabiscuit drive, reno, nv, usa",54,39.4033177,-119.730081,"United States"
"127","donders institute for brain, cognition, and behaviour, radboud university medical center, nijmegen, the netherlands",55,51.8193166,5.8596925,"Netherlands"
"132","laboratory of vascular medicine, erasmus university medical center, rotterdam, the netherlands",56,51.910144,4.4660355,"Netherlands"
"134","key laboratory of analytical chemistry for biology and medicine (ministry of education), wuhan university, wuhan 430072, p.r. china",57,30.5360485,114.3643219,"China"
"135","wuhan institute of biotechnology, wuhan 430072, p.r. china",58,30.5399216,114.3686304,"China"
"140",NA,59,NA,NA,NA
"141","noguchi memorial institute for medical research, university of ghana, legon, ghana",60,5.6371873,-0.1828652,"Ghana"
