"","PMID","ShortAffil","NAuth","lat","long","country"
"1","27633234","faculdade de engenharia da universidade do porto, rua doutor roberto frias s/n, 4200-465, porto, portugal",3,41.1779401,-8.5976876,"Portugal"
"2","27633234","faculdade de engenharia da universidade do porto, rua doutor roberto frias s/n, 4200-465, porto, portugal",3,41.1779401,-8.5976876,"Portugal"
"3","27633234","designstudio, faculdade de engenharia da universidade do porto, rua doutor roberto frias s/n, 4200-465, porto, portugal",3,41.1779401,-8.5976876,"Portugal"
"4","26589362","penn state hershey medical center, usa",4,40.2643702,-76.6747274,"United States"
"5","26589362","penn state hershey medical center, usa",4,40.2643702,-76.6747274,"United States"
"6","26589362","penn state hershey medical center, usa",4,40.2643702,-76.6747274,"United States"
"7","26589362","penn state college of medicine, usa",4,40.2643702,-76.6747274,"United States"
"8","26589362","penn state college of medicine, usa",4,40.2643702,-76.6747274,"United States"
"9","26589362","penn state university dickinson school of law, usa",4,40.1996213,-77.1975794,"United States"
"10","26192390","school, and counseling psychology, university of missouri",11,38.9452762,-92.3296443,"United States"
"11","26192390","school, and counseling psychology, university of missouri",11,38.9452762,-92.3296443,"United States"
"12","26192390","school, and counseling psychology, university of missouri",11,38.9452762,-92.3296443,"United States"
"13","26192390","school, and counseling psychology, university of missouri",11,38.9452762,-92.3296443,"United States"
"14","26192390","school, and counseling psychology, university of missouri",11,38.9452762,-92.3296443,"United States"
"15","26192390","school, and counseling psychology, university of missouri",11,38.9452762,-92.3296443,"United States"
"16","26192390","school, and counseling psychology, university of missouri",11,38.9452762,-92.3296443,"United States"
"17","26192390","school, and counseling psychology, university of missouri",11,38.9452762,-92.3296443,"United States"
"18","26192390","minnesota state university mankato",11,44.1463506,-93.9986131,"United States"
"19","26192390","university of iowa",11,41.6626963,-91.5548998,"United States"
"20","26192390","education research and consulting",11,44.5599924,-123.2639305,"United States"
"21","27699761","school of medicine and public health, university of newcastle, callaghan, nsw, australia, 2308",14,-32.8927718,151.7041775,"Australia"
"22","26898705","warwick medical school, university of warwick, coventry cv4 7al, united kingdom",5,52.3747685,-1.5506217,"United Kingdom"
"23","26898705","warwick medical school, university of warwick, coventry cv4 7al, united kingdom",5,52.3747685,-1.5506217,"United Kingdom"
"24","26898705","warwick medical school, university of warwick, coventry cv4 7al, united kingdom",5,52.3747685,-1.5506217,"United Kingdom"
"25","26898705","warwick medical school, university of warwick, coventry cv4 7al, united kingdom",5,52.3747685,-1.5506217,"United Kingdom"
"26","26898705","school of social and community medicine, university of bristol, canynge hall, 39 whatley road, bristol bs8 2ps, bristol, united kingdom",5,51.4647936,-2.6119457,"United Kingdom"
"27","27290857",NA,1,NA,NA,NA
"28","26505107",NA,6,NA,NA,NA
"29","27557385",NA,4,NA,NA,NA
"30","25052153",NA,2,NA,NA,NA
"31","27560121",NA,4,NA,NA,NA
"32","27044192",NA,2,NA,NA,NA
"33","26505105",NA,5,NA,NA,NA
"34","26164873",NA,1,NA,NA,NA
"35","27809584",NA,1,NA,NA,NA
"36","26942381",NA,1,NA,NA,NA
"37","25856538",NA,3,NA,NA,NA
"38","25783234",NA,1,NA,NA,NA
"39","26834207",NA,3,NA,NA,NA
"40","26677554",NA,1,NA,NA,NA
"41","25768958",NA,1,NA,NA,NA
"42","26412764",NA,10,NA,NA,NA
"43","27759730",NA,0,NA,NA,NA
"44","25449293",NA,3,NA,NA,NA
"45","26004972",NA,4,NA,NA,NA
"46","26352045",NA,6,NA,NA,NA
"47","27800725",NA,1,NA,NA,NA
"48","27206180",NA,0,NA,NA,NA
"49","26925481",NA,1,NA,NA,NA
"50","26399034",NA,3,NA,NA,NA
"51","27447203",NA,1,NA,NA,NA
"52","27524749",NA,3,NA,NA,NA
"53","27784663",NA,1,NA,NA,NA
"54","26281529",NA,1,NA,NA,NA
"55","26591252",NA,2,NA,NA,NA
"56","27484530",NA,0,NA,NA,NA
"57","26492746",NA,1,NA,NA,NA
"58","26902869",NA,5,NA,NA,NA
"59","26461199",NA,0,NA,NA,NA
"60","26752020",NA,3,NA,NA,NA
"61","26618575",NA,4,NA,NA,NA
"62","25856453",NA,4,NA,NA,NA
"63","27119802",NA,2,NA,NA,NA
"64","27156402",NA,0,NA,NA,NA
"65","26966985",NA,2,NA,NA,NA
"66","26115562",NA,1,NA,NA,NA
"67","25958455",NA,1,NA,NA,NA
"68","27530030",NA,1,NA,NA,NA
"69","25568195",NA,1,NA,NA,NA
"70","26521499",NA,8,NA,NA,NA
"71","27631951",NA,8,NA,NA,NA
"72","26466171",NA,2,NA,NA,NA
"73","26665707",NA,1,NA,NA,NA
"74","27902680",NA,1,NA,NA,NA
"75","26455036",NA,2,NA,NA,NA
"76","26217414",NA,1,NA,NA,NA
"77","27524763",NA,5,NA,NA,NA
"78","26075621",NA,4,NA,NA,NA
"79","27699436",NA,3,NA,NA,NA
"80","27443039",NA,1,NA,NA,NA
"81","26263717",NA,6,NA,NA,NA
"82","26009154",NA,1,NA,NA,NA
"83","25994454",NA,1,NA,NA,NA
"84","27138494",NA,1,NA,NA,NA
"85","26449092",NA,2,NA,NA,NA
"86","26155035",NA,2,NA,NA,NA
"87","27455540",NA,1,NA,NA,NA
"88","26336774",NA,0,NA,NA,NA
"89","26016276",NA,0,NA,NA,NA
"90","26466391",NA,4,NA,NA,NA
"91","26753227",NA,1,NA,NA,NA
"92","26731837",NA,2,NA,NA,NA
"93","26056394",NA,1,NA,NA,NA
"94","26462315",NA,1,NA,NA,NA
"95","26571942",NA,2,NA,NA,NA
"96","27539280",NA,1,NA,NA,NA
"97","25665256",NA,1,NA,NA,NA
"98","28179729",NA,0,NA,NA,NA
"99","29194160",NA,1,NA,NA,NA
"100","25493657",NA,2,NA,NA,NA
"101","25274105",NA,5,NA,NA,NA
"102","25642619",NA,2,NA,NA,NA
"103","26193798",NA,7,NA,NA,NA
"104","26084133",NA,3,NA,NA,NA
"105","27188046",NA,1,NA,NA,NA
"106","27100265",NA,0,NA,NA,NA
"107","27783814",NA,3,NA,NA,NA
"108","27809994",NA,0,NA,NA,NA
"109","27119524",NA,1,NA,NA,NA
"110","27323917",NA,1,NA,NA,NA
"111","27767424",NA,0,NA,NA,NA
"112","26016308",NA,2,NA,NA,NA
"113","27053403",NA,1,NA,NA,NA
"114","26115106",NA,1,NA,NA,NA
"115","26396992",NA,1,NA,NA,NA
"116","25981284",NA,8,NA,NA,NA
"117","27469160",NA,8,NA,NA,NA
"118","26525062",NA,1,NA,NA,NA
"119","26355105",NA,4,NA,NA,NA
"120","26058641",NA,1,NA,NA,NA
