"","ShortAffil","id","lat","long","country"
"1","faculdade de engenharia da universidade do porto, rua doutor roberto frias s/n, 4200-465, porto, portugal",1,41.1779401,-8.5976876,"Portugal"
"3","designstudio, faculdade de engenharia da universidade do porto, rua doutor roberto frias s/n, 4200-465, porto, portugal",2,41.1779401,-8.5976876,"Portugal"
"4","penn state hershey medical center, usa",3,40.2643702,-76.6747274,"United States"
"6","penn state college of medicine, usa",4,40.2643702,-76.6747274,"United States"
"7","penn state university dickinson school of law, usa",5,40.1996213,-77.1975794,"United States"
"10","school, and counseling psychology, university of missouri",6,38.9452762,-92.3296443,"United States"
"11","minnesota state university mankato",7,44.1463506,-93.9986131,"United States"
"19","university of iowa",8,41.6626963,-91.5548998,"United States"
"20","education research and consulting",9,44.5599924,-123.2639305,"United States"
"21","school of medicine and public health, university of newcastle, callaghan, nsw, australia, 2308",10,-32.8927718,151.7041775,"Australia"
"22","warwick medical school, university of warwick, coventry cv4 7al, united kingdom",11,52.3747685,-1.5506217,"United Kingdom"
"26","school of social and community medicine, university of bristol, canynge hall, 39 whatley road, bristol bs8 2ps, bristol, united kingdom",12,51.4647936,-2.6119457,"United Kingdom"
"27",NA,13,NA,NA,NA
"28","instituto universitario de ciencias de la educación (iuce), university of salamanca, salamanca, spain",14,40.9613376,-5.6669251,"Spain"
"29","visualmed system research group, instituto universitario de ciencias de la educación (iuce), university of salamanca, c/paseo de canalejas 169, 37008, salamanca, spain",15,40.9550519,-5.6826122,"Spain"
"30","centro de imagen y tecnología del conocimiento biomédico (citec-b), madrid, spain",16,40.4316686,-3.6660868,"Spain"
"31","centro para la imagen biomédica en extremadura (cibex). centro de cirugía mínima invasión j. usón, cáceres, spain",17,40.4510654,-3.7043487,"Spain"
"33","achu lille, f59000 lille buniv",18,50.610681,3.045632,"France"
"34","lille, u1189 - onco-thai - thérapies lasers assistées par l'image pour l'oncologie, f59000 lille cinserm, u1189, f-59000 lille, france duniversity hospital zürich, zürich, switzerland echu lille, f59000 lille, france ficahn school of medicine at mount sinai new york, new york, usa",19,40.7898695,-73.9533616,"United States"
"35","centers for disease control and prevention, atlanta, ga, 30341, usa",20,33.7993178,-84.328008,"United States"
"36","the university of texas at austin, 305 e",21,30.2849506,-97.7354467,"United States"
"37","rd st. g1800, austin, tx 78712, united states",22,30.6314162,-97.7626664,"United States"
"38","university of central florida, united states",23,28.6024274,-81.2000599,"United States"
"41","department of psychology",24,NA,NA,NA
"45","university of lübeck, nursing research unit, institute for social medicine and epidemiology, lübeck, germany",25,48.137161,11.576683,"Germany"
"46","university of lübeck, medical student, lübeck, germany",26,53.839027,10.708696,"Germany"
"47","hamburg university of applied sciences, faculty of economics and sociology, hamburg, germany",27,53.5562029,10.0221324,"Germany"
"48","ameos krankenhausgesellschaft holstein mbh, neustadt, germany",28,54.1056029,10.794915,"Germany"
"49","university of lübeck, institute for family medicine, lübeck, germany",29,53.839027,10.708696,"Germany"
"51","the dartmouth institute for health policy and clinical practice , dartmouth college, lebanon , new hampshire",30,43.7044406,-72.2886935,"United States"
