"","ShortAffil","id","lat","long","country"
"1","sestre milosrdnice university hospital center, zagreb, croatia",1,45.8153342,15.9536704,"Croatia"
"4","dr tomislav bardek general hospital, koprivnica, croatia",2,46.1625767,16.8380281,"Croatia"
"6","nova gradiška general hospital, nova gradiška, croatia",3,45.2613203,17.3897241,"Croatia"
"8","dr ivo pedišić general hospital, sisak, croatia",4,45.4766615,16.3692852,"Croatia"
"9","karlovac general hospital, karlovac, croatia",5,45.4771326,15.5386754,"Croatia"
"13",NA,6,NA,NA,NA
"15","j.d. candidate, boston university school of law, 2017",7,42.3509792,-71.107023,"United States"
"16","b.a. political science, university of rochester, 2012",8,43.1305531,-77.6260033,"United States"
"28","school of public health and community medicine, bp koirala institute of health sciences, dharan, nepal",9,26.8086685,87.2633693,"Nepal"
"30","bp eye foundation, kathmandu, nepal",10,27.670796,85.353534,"Nepal"
"31","harvard th chan school of public health, boston, ma, usa",11,42.3354484,-71.1027166,"United States"
"32","brigham and women's hospital, harvard medical school, boston, ma, usa",12,42.3359248,-71.1066945,"United States"
"33","institute for ethics, history, and the humanities, faculty of medicine, geneva university, geneva, switzerland",13,46.199444,6.1451157,"Switzerland"
"34","school of health sciences, kampala international university, kampala, uganda",14,0.2946511,32.6050213,"Uganda"
"36","hazara university, mansehra, pakistan",15,34.4207084,73.2506347,"Pakistan"
"38","college of veterinary medicine, cornell university, ithaca, new york",16,42.447459,-76.464878,"United States"
"40","center for teaching excellence, cornell university, ithaca, new york",17,42.4493096,-76.4789917,"United States"
"41","school of allied health sciences, baylor college of medicine, houston, tx, usa",18,29.710529,-95.396241,"United States"
"42","ut southwestern medical center, dallas, tx, usa",19,32.8156603,-96.8439894,"United States"
"43","doctoral candidate at the university of montreal in quebec, and a researcher in the faculty of medicine and health sciences at the university of sherbrooke",20,45.5047847,-73.5771511,"Canada"
"44","associate professor in the faculty of medicine and health sciences at the university of sherbrooke and in the family medicine unit at hôpital charles-lemoyne",21,43.0497018,-76.0855042,"United States"
"45","professor in the faculty of medicine and health sciences at the university of sherbrooke and in the family medicine unit at hôpital charles-lemoyne",22,43.0497018,-76.0855042,"United States"
"47","associate professor in the faculty of medicine and health sciences at the university of sherbrooke and the institut universitaire de gériatrie de sherbrooke",23,45.4475224,-71.8684937,"Canada"
"48","the university of british columbia in vancouver",24,49.2606052,-123.2459938,"Canada"
"51","third-year resident in sport and exercise medicine at mcmaster university",25,43.2648962,-79.9158303,"Canada"
"52","surgical service, center for innovations in quality, outcomes and patient safety, overton brooks veterans affairs medical center, shreveport, louisiana",26,32.5030466,-93.7214775,"United States"
"53","louisiana state university school of medicine, shreveport, louisiana",27,32.4788771,-93.7603676,"United States"
"54","louisiana state university school of medicine, new orleans, louisiana",28,29.9572962,-90.0832621,"United States"
"57","associate professor, brock university, st. catharines, ontario, l2s 3a1",29,43.2569754,-79.9341966,"Canada"
"58","chair and associate professor, brock university, st. catharines, ontario, l2s 3a1",30,43.119339,-79.2458198,"Canada"
"59","assistant professor, brock university, st. catharines, ontario, l2s 3a1",31,43.1175731,-79.2476925,"Canada"
"60","university of michigan medical school, ann arbor, michigan, usa",32,42.2841665,-83.7341007,"United States"
"61","center for bioethics and social sciences in medicine, university of michigan medical school, ann arbor, michigan, usa",33,42.300287,-83.707609,"United States"
"63","kresge hearing research institute, university of michigan medical school, ann arbor, michigan, usa",34,42.2841665,-83.7341007,"United States"
"67","claremont mckenna, pitzer, and scripps colleges, claremont, ca, usa",35,34.1046624,-117.7047193,"United States"
"68","university of lausanne, lausanne, switzerland",36,46.5210895,6.5801606,"Switzerland"
"69","institute of primary health care (biham), university of bern, bern, switzerland",37,46.9504896,7.438119,"Switzerland"
"71","internal medicine, lausanne university hospital, lausanne, switzerland",38,46.5256057,6.6426073,"Switzerland"
"72","pbm thomas, university of cambridge, downing street, cambridge cb2 3eb, uk",39,52.2042666,0.1149085,"United Kingdom"
"73","r downie, 69 oakfield ave, university of glasgow, glasgow g12 8dn, uk",40,55.87151,-4.2887609,"United Kingdom"
"74","hiram c. polk, jr",41,NA,NA,NA
"75","university of louisville school of medicine, louisville, kentucky",42,38.2486014,-85.7484493,"United States"
"84","wright state university, boonshoft school of medicine, dayton, ohio",43,39.7803281,-84.0616384,"United States"
"89","university of washington, seattle, washington",44,47.6553351,-122.3035199,"United States"
"95","stanford university, stanford, california",45,37.4274745,-122.169719,"United States"
"96","lenox hill hospital system, new york, new york",46,40.7736457,-73.9609112,"United States"
"97","university of nebraska medical center, omaha, nebraska",47,41.2548019,-95.9756821,"United States"
