"","PMID","ShortAffil","NAuth","lat","long","country"
"1","25803225","johns hopkins university school of medicine, baltimore, maryland, usa",1,39.2992161,-76.5933799,"United States"
"2","27171546","johns hopkins university school of medicine, baltimore, maryland, usa",45,39.2992161,-76.5933799,"United States"
"3","26443479","johns hopkins university school of medicine, baltimore, maryland, usa",2,39.2992161,-76.5933799,"United States"
"4","26082351","the university of hong kong, hong kong",1,22.2829989,114.1370848,"Hong Kong"
"5","25282299","school of public health and preventive medicine, monash university, commercial rd, melbourne, 3004, australia",3,-37.8301583,144.9804594,"Australia"
"6","25282299","school of public health and preventive medicine, monash university, commercial rd, melbourne, 3004, australia",3,-37.8301583,144.9804594,"Australia"
"7","25282299","school of public health and preventive medicine, monash university, commercial rd, melbourne, 3004, australia",3,-37.8301583,144.9804594,"Australia"
"8","25282299","emergency and trauma centre, alfred health, commercial rd, melbourne, victoria 3004, australia",3,-37.8456666,144.981945,"Australia"
"9","25282299","emergency and trauma centre, alfred health, commercial rd, melbourne, victoria 3004, australia",3,-37.8456666,144.981945,"Australia"
"10","25282299","emergency services, hamad medical corporation, doha, qatar",3,25.2851545,51.5418749,"Qatar"
"11","27784530","laboratory for medical microbiology, stichting pamm, veldhoven, the netherlands",10,51.4070522,5.4178654,"Netherlands"
"12","27856139","yale university school of medicine, new haven, ct, united states",8,41.303229,-72.933826,"United States"
"13","27856139","yale university school of medicine, new haven, ct, united states",8,41.303229,-72.933826,"United States"
"14","27856139","yale university school of medicine, new haven, ct, united states",8,41.303229,-72.933826,"United States"
"15","27856139","yale university school of medicine, new haven, ct, united states",8,41.303229,-72.933826,"United States"
"16","27856139","yale university school of medicine, new haven, ct, united states",8,41.303229,-72.933826,"United States"
"17","27856139","center for outcomes research and evaluation, yale new haven hospital, new haven, ct, united states",8,41.3038679,-72.9267466,"United States"
"18","27856139","miami valley hospital, dayton, oh, united states",8,39.7455071,-84.1857844,"United States"
"19","27856139","yale new haven hospital, new haven, ct, united states",8,41.3036288,-72.9358717,"United States"
"20","27856139","yale new haven hospital, new haven, ct, united states",8,41.3036288,-72.9358717,"United States"
"21","27856139","yale new haven hospital, new haven, ct, united states",8,41.3036288,-72.9358717,"United States"
"22","26408930","school of public health, imperial college london, london, uk",47,51.517615,-0.173353,"United Kingdom"
"23","26408930","school of public health, imperial college london, london, uk",47,51.517615,-0.173353,"United Kingdom"
"24","25968134","school of public health, imperial college london, london, uk",3,51.517615,-0.173353,"United Kingdom"
"25","26408930","cardiovascular and cell sciences research institute, st george's university of london, london, uk",47,51.4271937,-0.1745034,"United Kingdom"
"26","26408930","cardiovascular and cell sciences research institute, st george's university of london, london, uk",47,51.4271937,-0.1745034,"United Kingdom"
"27","26408930","academic medical centre, amsterdam, the netherlands",47,52.294629,4.957973,"Netherlands"
"28","26408930","academic medical centre, amsterdam, the netherlands",47,52.294629,4.957973,"Netherlands"
"29","26408930","fundación hipercolesterolemia familiar, madrid, spain",47,40.4351514,-3.7018547,"Spain"
"30","26408930","faculty of health sciences, university of the witwatersrand, johannesburg, south africa",47,-26.1781718,28.0461172,"South Africa"
"31","26821889","faculty of health sciences, university of the witwatersrand, johannesburg, south africa",5,-26.1781718,28.0461172,"South Africa"
"32","26408930","heart institute (incor), university of sao paulo medical school hospital, sao paulo, brazil",47,-23.5569404,-46.6679011,"Brazil"
"33","26408930","faculty of medical and health sciences, university of manchester, manchester, uk",47,53.4668498,-2.2338837,"United Kingdom"
"34","26408930","cardiovascular medicine, royal perth hospital, university of western australia, perth, australia",47,-31.953946,115.8659043,"Australia"
"35","26408930","laboratory of biochemistry and molecular therapeutics, faculty of pharmacy, saint-joseph university, beirut, lebanon",47,33.8916758,35.5085626,"Lebanon"
"36","26408930","instituto nacional de ciencias médicas y nutrición, mexico city, mexico",47,19.2879805,-99.1570031,"Mexico"
"37","26408930","global ehealth unit, school of public health, imperial college london, london, uk",47,51.4987997,-0.1748772,"United Kingdom"
"38","26408930","global ehealth unit, school of public health, imperial college london, london, uk",47,51.4987997,-0.1748772,"United Kingdom"
"39","26408930","global ehealth unit, school of public health, imperial college london, london, uk",47,51.4987997,-0.1748772,"United Kingdom"
"40","26408930","cardiovascular prevention and rehabilitation unit, prince sultan cardiac centre riyadh, riyadh, saudi arabia",47,24.692903,46.7146226,"Saudi Arabia"
"41","26408930","lipid clinic, clínica las condes, santiago de chile, chile",47,-33.4202341,-70.5306576,"Chile"
"42","26408930","sultan qaboos university hospital, muscat, oman",47,23.5909657,58.1730322,"Oman"
"43","26408930","medical university of lodz, lodz, poland",47,51.769881,19.454088,"Poland"
"44","26408930","national advisory unit on familial hypercholesterolemia, norway",47,60.472024,8.468946,"Norway"
"45","26408930","instituto nacional de saúde doutor ricardo jorge and bioisi - biosystems & integrative sciences institute, universidade de lisboa, portugal",47,38.757145,-9.157641,"Portugal"
"46","26408930","endocrinologie métabolisme et prevention cardiovasculaire, institut e3m et ihu cardiométabolique (ican), hôpitalpitiésalpêtrière, paris, france",47,48.8837436,2.2982427,"France"
"47","26408930","lee kong chian school of medicine, nanyang technological university, singapore",47,1.3446298,103.6783762,"Singapore"
"48","26408930","fasta university, school of medicine, mar del plata, argentina",47,-38.006732,-57.5634962,"Argentina"
"49","26408930","hôpital de jolimont, haine saint-paul, belgium",47,50.4767298,4.2152149,"Belgium"
"50","26408930","austrian atherosclerosis society, c/o, medical university of innsbruck, innsbruck, austria",47,47.2629925,11.3844742,"Austria"
"51","26408930","hadassah hebrew university medical center, jerusalem, israel",47,31.7649503,35.1494106,"Israel"
"52","26408930","centre for cardiovascular surgery and transplantation brno, and ceitec, masaryk university, brno, czech republic",47,49.1986299,16.605384,"Czechia"
"53","26408930","centro hospitalar de lisboa ocidental and genetics laboratory, lisbon medical school, university of lisbon, portugal",47,38.7468038,-9.1609454,"Portugal"
"54","26408930","mcgill university, montreal, canada",47,45.5047847,-73.5771511,"Canada"
"55","26408930","national cerebral and cardiovascular centre research institute, osaka, japan",47,34.829219,135.5047006,"Japan"
"56","26408930","national center for cardiovascular diseases, beijing, china",47,39.9041999,116.4073963,"China"
"57","26408930","ege university medical school, izmir, turkey",47,38.4558637,27.2289375,"Turkey"
"58","26408930","national heart centre singapore and duke-national university of singapore, singapore",47,1.2784236,103.8361644,"Singapore"
"59","26408930","paul stradins clinical university hospital, latvian research institute of cardiology, university of latvia, riga, latvia",47,56.9328855,24.068306,"Latvia"
"60","26408930","universität des saarlandes, homburg, germany",47,49.3088644,7.345788,"Germany"
"61","26408930","university of ioannina medical school, ioannina, greece",47,39.6158593,20.8450898,"Greece"
"62","26408930","linkoping university, linkoping, sweden",47,58.3978364,15.5760072,"Sweden"
"63","26408930","herlev and gentofte hospital, copenhagen university hospital, university of copenhagen, copenhagen, denmark",47,55.7387199,12.5482586,"Denmark"
