"","ShortAffil","id","lat","long","country"
"1","johns hopkins university school of medicine, baltimore, maryland, usa",1,39.2992161,-76.5933799,"United States"
"2","the university of hong kong, hong kong",2,22.2829989,114.1370848,"Hong Kong"
"3","school of public health and preventive medicine, monash university, commercial rd, melbourne, 3004, australia",3,-37.8301583,144.9804594,"Australia"
"4","emergency and trauma centre, alfred health, commercial rd, melbourne, victoria 3004, australia",4,-37.8456666,144.981945,"Australia"
"8","emergency services, hamad medical corporation, doha, qatar",5,25.2851545,51.5418749,"Qatar"
"9","laboratory for medical microbiology, stichting pamm, veldhoven, the netherlands",6,51.4070522,5.4178654,"Netherlands"
"10","yale university school of medicine, new haven, ct, united states",7,41.303229,-72.933826,"United States"
"11","center for outcomes research and evaluation, yale new haven hospital, new haven, ct, united states",8,41.3038679,-72.9267466,"United States"
"12","miami valley hospital, dayton, oh, united states",9,39.7455071,-84.1857844,"United States"
"16","yale new haven hospital, new haven, ct, united states",10,41.3036288,-72.9358717,"United States"
"20","school of public health, imperial college london, london, uk",11,51.517615,-0.173353,"United Kingdom"
"21","cardiovascular and cell sciences research institute, st george's university of london, london, uk",12,51.4271937,-0.1745034,"United Kingdom"
"23","academic medical centre, amsterdam, the netherlands",13,52.294629,4.957973,"Netherlands"
"25","fundación hipercolesterolemia familiar, madrid, spain",14,40.4351514,-3.7018547,"Spain"
"26","faculty of health sciences, university of the witwatersrand, johannesburg, south africa",15,-26.1781718,28.0461172,"South Africa"
"27","heart institute (incor), university of sao paulo medical school hospital, sao paulo, brazil",16,-23.5569404,-46.6679011,"Brazil"
"28","faculty of medical and health sciences, university of manchester, manchester, uk",17,53.4668498,-2.2338837,"United Kingdom"
"29","cardiovascular medicine, royal perth hospital, university of western australia, perth, australia",18,-31.953946,115.8659043,"Australia"
"30","laboratory of biochemistry and molecular therapeutics, faculty of pharmacy, saint-joseph university, beirut, lebanon",19,33.8916758,35.5085626,"Lebanon"
"31","instituto nacional de ciencias médicas y nutrición, mexico city, mexico",20,19.2879805,-99.1570031,"Mexico"
"32","global ehealth unit, school of public health, imperial college london, london, uk",21,51.4987997,-0.1748772,"United Kingdom"
"33","cardiovascular prevention and rehabilitation unit, prince sultan cardiac centre riyadh, riyadh, saudi arabia",22,24.692903,46.7146226,"Saudi Arabia"
"34","lipid clinic, clínica las condes, santiago de chile, chile",23,-33.4202341,-70.5306576,"Chile"
"35","sultan qaboos university hospital, muscat, oman",24,23.5909657,58.1730322,"Oman"
"36","medical university of lodz, lodz, poland",25,51.769881,19.454088,"Poland"
"37","national advisory unit on familial hypercholesterolemia, norway",26,60.472024,8.468946,"Norway"
"38","instituto nacional de saúde doutor ricardo jorge and bioisi - biosystems & integrative sciences institute, universidade de lisboa, portugal",27,38.757145,-9.157641,"Portugal"
"39","endocrinologie métabolisme et prevention cardiovasculaire, institut e3m et ihu cardiométabolique (ican), hôpitalpitiésalpêtrière, paris, france",28,48.8837436,2.2982427,"France"
"41","lee kong chian school of medicine, nanyang technological university, singapore",29,1.3446298,103.6783762,"Singapore"
"42","fasta university, school of medicine, mar del plata, argentina",30,-38.006732,-57.5634962,"Argentina"
"43","hôpital de jolimont, haine saint-paul, belgium",31,50.4767298,4.2152149,"Belgium"
"44","austrian atherosclerosis society, c/o, medical university of innsbruck, innsbruck, austria",32,47.2629925,11.3844742,"Austria"
"45","hadassah hebrew university medical center, jerusalem, israel",33,31.7649503,35.1494106,"Israel"
"46","centre for cardiovascular surgery and transplantation brno, and ceitec, masaryk university, brno, czech republic",34,49.1986299,16.605384,"Czechia"
"47","centro hospitalar de lisboa ocidental and genetics laboratory, lisbon medical school, university of lisbon, portugal",35,38.7468038,-9.1609454,"Portugal"
"48","mcgill university, montreal, canada",36,45.5047847,-73.5771511,"Canada"
"49","national cerebral and cardiovascular centre research institute, osaka, japan",37,34.829219,135.5047006,"Japan"
"50","national center for cardiovascular diseases, beijing, china",38,39.9041999,116.4073963,"China"
"51","ege university medical school, izmir, turkey",39,38.4558637,27.2289375,"Turkey"
"52","national heart centre singapore and duke-national university of singapore, singapore",40,1.2784236,103.8361644,"Singapore"
"53","paul stradins clinical university hospital, latvian research institute of cardiology, university of latvia, riga, latvia",41,56.9328855,24.068306,"Latvia"
"54","universität des saarlandes, homburg, germany",42,49.3088644,7.345788,"Germany"
"55","university of ioannina medical school, ioannina, greece",43,39.6158593,20.8450898,"Greece"
"56","linkoping university, linkoping, sweden",44,58.3978364,15.5760072,"Sweden"
"57","herlev and gentofte hospital, copenhagen university hospital, university of copenhagen, copenhagen, denmark",45,55.7387199,12.5482586,"Denmark"
